iso3166_alpha2,name_ru,life_expectancy,cash_income_2020,real_disposable_cash_income_2020,gini_coefficient_2020,funds_ratio_2020,cash_income_deficit_2020,decile_ratio_2019,population_with_monetary_incomes_below_the_subsistence_level,healthy_life_expectancy_2019,number_of_higher_education_organizations,number_of_higher_education_students,indices_of_economy_2019,environmental_quality_2020
RU,Российская Федерация,81.66,35676,97.00,0.40,14.50,1.20,7.10,12.10,60.30,710,4049333,101.60,102.71
RU-NEN,Ненецкий автономный округ,81.52,83976,100.80,0.42,16.90,0.80,8.00,9.40,55.70,,,99.60,110.48
RU-KHM,Ханты-Мансийский автономный округ - Югра,82.40,53886,99.10,0.38,12.60,0.70,6.60,8.40,58.30,5,21517,98.70,
RU-YAN,Ямало-Ненецкий автономный округ,82.09,88102,104.00,0.44,18.60,0.30,8.10,5.00,56.50,,,105.90,92.77
RU-ALT,Алтайский край,80.90,23860,94.90,0.36,11.00,2.20,5.80,17.50,56.80,7,49608,102.30,136.17
RU-AMU,Амурская область,79.72,35020,99.90,0.39,13.00,1.70,6.60,15.20,57.40,4,14446,114.00,94.47
RU-ARK,Архангельская область,81.28,36573,97.30,0.36,11.00,1.40,6.00,12.80,59.10,4,17287,100.20,102.10
RU-AST,Астраханская область,81.94,25150,96.20,0.35,10.10,1.90,5.40,15.60,61.50,6,29329,102.40,102.88
RU-BEL,Белгородская область,81.91,32835,96.90,0.38,12.00,0.60,6.20,7.20,57.20,5,46181,102.00,95.12
RU-BRY,Брянская область,81.28,28310,95.10,0.36,11.00,1.50,5.80,13.80,55.70,5,22876,102.30,102.02
RU-VLA,Владимирская область,81.04,25803,96.30,0.33,8.70,1.40,4.90,12.50,58.60,3,25377,106.40,102.89
RU-VGG,Волгоградская область,81.90,25268,98.90,0.35,9.80,1.30,5.10,12.00,60.20,12,57763,99.90,93.90
RU-VLG,Вологодская область,81.10,29369,98.20,0.36,10.30,1.40,5.30,12.90,58.70,4,18653,99.30,112.26
RU-VOR,Воронежская область,81.87,31997,94.70,0.39,13.40,0.70,6.50,8.50,58.20,15,84976,101.30,98.55
