iso3166_alpha2,name_ru,date,water_low,water_medium,water_high,water_total,water_quality
RU-AD,Республика Адыгея,2017,0.0000,1.0000,0.0000,0.5000,0.5000
RU-AL,Республика Алтай,2017,0.2200,0.7800,0.0000,0.3900,0.6100
RU-BA,Республика Башкортостан,2017,0.0000,0.5850,0.4150,0.7075,0.2925
RU-BU,Республика Бурятия,2017,0.1400,0.8300,0.0300,0.4450,0.5550
RU-DA,Республика Дагестан,2017,0.0000,1.0000,0.0000,0.5000,0.5000
RU-IN,Республика Ингушетия,2017,,,,,
RU-KB,Кабардино-Балкарская Республика,2017,0.0000,1.0000,0.0000,0.5000,0.5000
RU-KL,Республика Калмыкия,2017,,,,,
RU-KC,Карачаево-Черкесская Республика,2017,,,,,
RU-KR,Республика Карелия,2017,0.0000,1.0000,0.0000,0.5000,0.5000
RU-KO,Республика Коми,2017,0.0210,0.8960,0.0830,0.5310,0.4690
RU-CR,Республика Крым,2017,0.3460,0.6540,0.0000,0.3270,0.6730
RU-ME,Республика Марий Эл,2017,0.0000,1.0000,0.0000,0.5000,0.5000
RU-MO,Республика Мордовия,2017,0.0000,0.7000,0.3000,0.6500,0.3500
RU-SA,Республика Саха (Якутия),2017,0.0000,0.9390,0.0610,0.5305,0.4695
RU-SE,Республика Северная Осетия - Алания,2017,0.3530,0.4120,0.2350,0.4410,0.5590
RU-TA,Республика Татарстан,2017,0.0000,0.8460,0.1540,0.5770,0.4230
RU-TY,Республика Тыва,2017,0.0000,1.0000,0.0000,0.5000,0.5000
RU-UD,Удмуртская Республика,2017,0.0000,0.6920,0.3080,0.6540,0.3460
RU-KK,Республика Хакасия,2017,0.0000,0.9000,0.1000,0.5500,0.4500
RU-CE,Чеченская Республика,2017,,,,,
RU-CU,Республика Чувашия,2017,0.0000,1.0000,0.0000,0.5000,0.5000
RU-ALT,Алтайский край,2017,0.0000,0.7600,0.2400,0.6200,0.3800
RU-ZAB,Забайкальский край,2017,0.0000,0.7600,0.2400,0.6200,0.3800
RU-KAM,Камчатский край,2017,0.0000,1.0000,0.0000,0.5000,0.5000
RU-KDA,Краснодарский край,2017,0.0000,0.9230,0.0770,0.5385,0.4615
RU-KYA,Красноярский край,2017,0.0000,0.7300,0.2700,0.6350,0.3650
RU-PER,Пермский край,2017,0.0000,0.9330,0.0670,0.5335,0.4665
RU-PRI,Приморский край,2017,0.0000,0.4220,0.5780,0.7890,0.2110
